835,22,0.0019536000,9.10651,12
1024,23,0.0018044000,10.08010,15
72,17,0.0002062000,9.12097,13
953,25,0.0023561000,11.68073,17
91,16,0.0002480000,6.73292,10
652,22,0.0015809000,9.38734,12
350,22,0.0006898000,10.44696,14
612,21,0.0016885000,9.83004,11
232,17,0.0015472000,7.87786,7
177,21,0.0006883000,10.84880,13
511,23,0.0018254000,9.98210,15
1037,23,0.0027869000,10.42074,11
197,19,0.0004777000,8.37952,13
697,22,0.0012658000,9.29494,14
239,19,0.0006478000,7.91094,13
1622,22,0.0030901000,9.74709,10
315,20,0.0012548000,8.89179,10
30,21,0.0000788000,10.15686,19
373,22,0.0013853000,10.57541,18
550,22,0.0033350000,10.55188,16
34,16,0.0001787000,8.13333,14
118,16,0.0003055000,8.47500,10
1449,25,0.0035452000,10.87252,15
873,22,0.0028970000,10.12685,14
808,23,0.0046782000,9.80539,13
1167,25,0.0018793000,10.52618,15
308,21,0.0027844000,9.41406,15
41,13,0.0001318000,6.06757,7
533,23,0.0014203000,11.04263,13
346,24,0.0013825000,11.51049,16
929,24,0.0015883000,10.30976,14
117,16,0.0010856000,8.69849,12
26,18,0.0000964000,8.87234,16
666,23,0.0017769000,10.15755,13
1734,26,0.0067286000,10.82037,14
1824,27,0.0043744000,12.16270,17
231,22,0.0012441000,11.43085,14
1807,26,0.0074921000,10.74685,14
655,22,0.0017183000,9.45888,12
2298,25,0.0038105000,10.25770,13
76,14,0.0004068000,7.44361,8
786,25,0.0018584000,11.27316,19
609,21,0.0016909000,9.23061,11
2231,26,0.0087615000,10.66861,16
1757,24,0.0086152000,9.88986,14
299,24,0.0007512000,11.53878,20
41,18,0.0001061000,9.90411,14
543,23,0.0014631000,10.67455,15
438,21,0.0008410000,10.07692,11
2864,28,0.0100873000,12.26473,16
221,20,0.0032127000,9.77165,12
2849,27,0.0045650000,11.10601,15
179,19,0.0004884000,8.83444,11
1075,26,0.0044766000,11.60231,16
177,18,0.0005426000,8.59333,12
752,24,0.0016940000,10.14751,16
182,18,0.0004199000,8.20066,8
1355,24,0.0059435000,10.10703,12
205,23,0.0005481000,11.03207,17
712,24,0.0012798000,10.58718,16
1421,27,0.0061632000,12.04525,19
2186,25,0.0038299000,9.94740,13
168,21,0.0004359000,10.68459,15
39,22,0.0001168000,11.92537,18
4038,28,0.0067012000,11.20269,14
90,20,0.0002374000,9.56579,16
2905,27,0.0049684000,10.89380,17
2301,27,0.0080949000,11.90448,15
698,25,0.0021666000,10.88869,19
2190,24,0.0081815000,9.52690,10
936,24,0.0034753000,11.85837,16
238,22,0.0007003000,9.93284,16
3038,27,0.0047748000,10.98871,15
1632,26,0.0057896000,10.82971,18
4306,25,0.0138442000,10.36397,11
739,26,0.0017707000,11.92308,20
382,20,0.0020532000,9.36246,14
2084,26,0.0035303000,10.71891,16
99,16,0.0002609000,7.53179,10
2764,27,0.0081122000,11.44710,17
428,19,0.0011587000,8.68362,11
715,25,0.0011302000,13.13193,21
68,15,0.0001973000,7.32231,11
34,17,0.0000910000,9.21311,13
121,15,0.0005989000,7.39130,7
993,25,0.0024435000,10.75356,17
163,17,0.0003964000,8.93116,11
2389,27,0.0042130000,11.72441,17
369,20,0.0009968000,8.34846,8
356,20,0.0006188000,8.59291,12
1461,27,0.0024283000,11.16816,21
854,26,0.0014682000,11.47864,18
730,22,0.0011072000,9.61648,12
257,22,0.0013097000,11.32701,14
414,22,0.0014016000,9.85465,12
181,19,0.0009569000,9.87500,17
336,20,0.0005906000,9.11111,8
707,21,0.0011373000,8.61538,9
1467,24,0.0044711000,11.04268,14
1319,25,0.0023924000,10.79849,13
